correct_word	non_word	len	space_or_hyphen	levenshtein	real_word_error
Adam's	Adam	4	False	2	True
After	Artair	6	False	3	False
America	American	8	False	1	True
And	Ane	3	False	1	False
Apprenticeship	Apprentiship	12	False	2	False
April	Apirl	5	False	2	False
Audrey	audre	5	False	2	False
Austin	Autin	5	False	1	False
Babies	Babys	5	False	2	False
Bang	Bankg	5	False	1	False
Beryl	Beryil	6	False	1	False
Bicycle	Bicyle	6	False	1	False
Boss	Bos	3	False	1	False
Boys	Boy	3	False	1	False
Brabham	Barham	6	False	2	False
Brabham	barham	6	False	3	False
Butlins	butlins	7	False	1	False
Castle's	castels	7	False	3	False
Characters	Chartors	8	False	3	False
Cheerio	Cheere_ho	9	False	3	False
Cheetah	Cheter	6	False	3	False
Comment allez-vous	Comatalevous	12	True	7	False
Commentary	Comentary	9	False	1	False
Cooper	Copper	6	False	1	False
Cynthia's	Cynthia	7	False	2	True
Death	Dearth	6	False	1	False
Doctor	Docter	6	False	1	False
Dog's	Dog	3	False	2	False
Durex	Durxer	6	False	2	False
End	And	3	False	1	False
End	Edh	3	False	2	False
End	Hed	3	False	2	False
Every	Evey	4	False	1	False
Factory	Facttoer	8	False	3	False
Farmer	Frameman	8	False	5	False
Father	Farther	7	False	1	False
Ferrari	Farrari	7	False	1	False
Fire	Fiyer	5	False	2	False
France	Fance	5	False	1	False
Frogmen's	Frgmens	7	False	2	False
Garden	Gardon	6	False	1	False
Geoff	Goef	4	False	2	False
Goodbye	Good_by	7	False	2	False
Her	Here	4	False	1	False
Him	Im	2	False	2	False
His	He	2	False	2	True
His	He's	4	False	2	True
Holiday	Holliday	8	False	1	False
Honda	Hondor	6	False	2	False
Hong Kong	Honk_Kong	9	True	2	False
I'd	Id	2	False	1	False
I'll	I	1	False	3	True
I'll	Ill	3	False	1	True
I'll	ile	3	False	3	False
I'll	ill	3	False	2	True
I'm	I	1	False	2	True
I'm	Im	2	False	1	False
I've	Ive	3	False	1	False
It	I	1	False	1	True
Italy	Itlay	5	False	2	False
James	Jame	4	False	1	True
Jane's	Janes	5	False	1	False
Japanese	Japannese	9	False	1	False
Jean's	Jeans	5	False	1	False
Jean's	jeans	5	False	2	True
Joan	Jone	4	False	2	False
John's	John	4	False	2	True
John's	johns	5	False	2	True
Jones	Johnes	6	False	1	False
Jones's	Joneses	7	False	1	False
Joyce's	Joyce	5	False	2	True
July	Jluy	4	False	2	False
Kidneys	Kidney	6	False	1	False
Lead	Led	3	False	1	False
Let's	Lets	4	False	1	False
London	Londen	6	False	1	False
London	Londod	6	False	1	False
Lone	Long	4	False	1	True
Lucky	Luckily	7	False	2	False
Macwilliams	macwillaims	11	False	3	False
Married	Marrid	6	False	1	False
Mary	Marry	5	False	1	False
Meanwhile	Mean_while	10	False	1	False
Monkeys	Munces	6	False	3	False
Motorbike	Motor-bikes	11	True	2	False
My	By	2	False	1	False
Next	Nexe	4	False	1	False
Nicholls	Nickals	7	False	3	False
Nose	Nos	3	False	1	False
Note	Noet	4	False	2	False
Oh	Ow	2	False	1	False
Once	Ones	4	False	2	False
One	Won	3	False	3	False
Outside	Out_side	8	False	1	False
Phil Hill	Phillhill	9	True	2	False
Pleased	Please	6	False	1	False
Poem	Pome	4	False	2	False
Police	Pollce	6	False	1	False
Porky	Paulkey	7	False	4	False
Prison	Prisern	7	False	2	False
Ranger	Rango	5	False	2	False
Roy	Roys	4	False	1	False
Royal	Royl	4	False	1	False
She's	She	3	False	2	False
Slaughterhouse	Slaughthouse	12	False	2	False
Smoking	Smocking	8	False	1	False
So	Show	4	False	2	False
Someone	Some_one	8	False	1	False
Southwold	Suothwode	9	False	4	False
Stanley	Stanlay	7	False	1	False
Stranded	Stranden	8	False	1	False
Stuart	Sturt	5	False	1	False
Switzerland	Swizaland	9	False	3	False
Sylvia	Sylver	6	False	2	False
Sylvia	sylver	6	False	3	False
TV	tv	2	False	2	False
Teddy boy	Teddoy	6	True	3	False
Teddy boy	Tedeboy	7	True	3	False
Teddy boys	Taddyboys	9	True	2	False
That's	Thats	5	False	1	False
Their	There	5	False	2	False
Their	They	4	False	2	False
There	Their	5	False	2	False
There	Ther	4	False	1	False
There	They	4	False	2	False
There's	There	5	False	2	False
Thinking	Thinkng	7	False	1	False
Toby	Tobe	4	False	1	False
Tom's	Toms	4	False	1	False
Tommy	Tomy	4	False	1	False
Tonner	Toner	5	False	1	False
Triumph	Triumh	6	False	1	False
Triumph	trumh	5	False	3	False
Troy	Toy	3	False	1	False
Two	Tow	3	False	2	False
Watson	watston	7	False	2	False
What	Wh't	4	False	1	False
What's	What	4	False	2	False
Which	Wiich	5	False	1	False
While	Will	4	False	2	True
Whoever's	Whos_evers	10	False	3	False
Wings	Wing	4	False	1	False
Yard	Ysid	4	False	2	False
You're	Your	4	False	2	False
a	an	2	False	1	True
a bit	abit	4	True	1	False
a while	awill	5	True	3	False
aboard	abroard	7	False	1	False
about	a_Bat	5	False	3	False
about	a_bout	6	False	1	False
absolutely	absolutly	9	False	1	False
ache	ack	3	False	2	False
after	half	4	False	5	True
after a while	afterawhile	11	True	2	False
again	a_gain	6	False	1	False
again	agan	4	False	1	False
again	agian	5	False	2	False
ago	a_go	4	False	1	False
air	hare	4	False	3	True
alive	alife	5	False	1	False
alley	ally	4	False	1	True
allowed	alloud	6	False	2	False
almighty	almity	6	False	2	False
alone	a_lone	6	False	1	False
along	a_long	6	False	1	False
alright	allright	8	False	1	False
alright	arigh	5	False	2	False
alright	aright	6	False	1	True
alright	arigth	6	False	3	False
alright	or_rit	6	False	5	False
alright	orrigh	6	False	3	False
alright	orright	7	False	2	False
also	allso	5	False	1	False
also	als	3	False	1	False
altar	alter	5	False	1	True
always	all_ways	8	False	2	False
always	allways	7	False	1	False
ambulance	amberless	9	False	6	False
ambulance	amblance	8	False	1	False
ambulance	amerless	8	False	6	False
amusements	amusments	9	False	1	False
an	a	1	False	1	True
an	and	3	False	1	True
and	a	1	False	2	True
and	an	2	False	1	True
and	aud	3	False	1	False
and	hand	4	False	1	True
animals	animl	5	False	2	False
another	a_nother	8	False	1	False
another	a_nouther	9	False	2	False
another	aner	4	False	3	False
answered	anwerd	6	False	2	False
any	eney	4	False	2	False
anyone	any_on	6	False	2	False
anyone	any_one	7	False	1	False
anyone	any_own	7	False	3	False
anything	any_thing	9	False	1	False
anything	anythink	8	False	1	False
anything	anyting	7	False	1	False
anything	enthing	7	False	2	False
apple	apply	5	False	1	True
apples	apple	5	False	1	True
apprenticeship	apprentiship	12	False	2	False
are	and	3	False	2	True
area	airaear	7	False	3	False
aren't	arent	5	False	1	False
army	hrmehn	6	False	4	False
army	hrmehr	6	False	4	False
around	a_round	7	False	1	False
arrived	arived	6	False	1	False
as	ass	3	False	1	True
as	has	3	False	1	True
asked	arsed	5	False	2	True
asked	ask	3	False	2	True
asking	arsking	7	False	1	False
asks	ask	3	False	1	True
asleep	a_seph	6	False	4	False
asleep	a_sleep	7	False	1	False
at	a	1	False	1	True
at	are	3	False	2	True
at all	a_tall	6	True	2	False
at all	a_tool	6	True	4	False
ate	eat	3	False	2	True
ate	et	2	False	2	False
ate	ete	3	False	1	False
attack	atack	5	False	1	False
attend	atened	6	False	2	False
audrey	audre	5	False	1	False
author's	others	6	False	4	True
autumn	Aount	5	False	5	False
autumn	autunm	6	False	2	False
away	a_way	5	False	1	False
awful	alfull	6	False	2	False
babies	babyes	6	False	1	False
babies	babyis	6	False	2	False
babies	babys	5	False	2	False
baby	babby	5	False	1	False
baby	babys	5	False	1	False
back	bake	4	False	2	True
back	bakh	4	False	2	False
back	doc	3	False	3	True
barbed	barb	4	False	2	True
bare	bear	4	False	2	True
barn	bran	4	False	2	True
basket	barscket	8	False	2	False
basket	basckek	7	False	2	False
basket	baskek	6	False	1	False
baths	bath	4	False	1	True
be	by	2	False	1	True
be	me	2	False	1	True
be	we	2	False	1	True
be coming	became	6	True	5	True
beat	pit	3	False	3	True
beating	beting	6	False	1	False
beautiful	beaufiful	9	False	1	False
became	bacam	5	False	2	False
because	becaues	7	False	2	False
because	becouse	7	False	1	False
bedrooms	bed_room	8	False	2	False
beef	bf	2	False	2	True
been	bean	4	False	1	True
been	bine	4	False	3	False
before	be_for	6	False	2	False
before	befor	5	False	1	False
behind	behed	5	False	2	False
behind	behism	6	False	2	False
being	been	4	False	2	True
bellringing	bell_ringing	12	False	1	False
belongs	belong	6	False	1	True
bending	bend_in	7	False	2	False
best	beets	5	False	2	True
better	bet	3	False	3	True
better	beter	5	False	1	False
better	beththe	7	False	3	False
beverley	beverly	7	False	1	False
beware	bewere	6	False	1	False
bicycles	bciyle	6	False	4	False
big	bing	4	False	1	False
big-headed	Big_haded	9	True	3	False
bigger	biger	5	False	1	False
biggest	bigest	6	False	1	False
billed	build	5	False	3	True
bird	brid	4	False	2	False
biscuits	biccuits	8	False	1	False
bitten	biten	5	False	1	False
blew	blow	4	False	1	True
bloody	bludy	5	False	2	False
blossom	blossm	6	False	1	False
boasting	bosting	7	False	1	False
bodies	bodys	5	False	2	False
body	bod	3	False	1	True
booze	bouse	5	False	2	False
borrowed	borrowd	7	False	1	False
boss	bos	3	False	1	False
bottom	botton	6	False	1	False
boy	buy	3	False	1	True
boy's	boy	3	False	2	True
boy's	boys	4	False	1	True
boyfriend	boy_friend	10	False	1	False
boyfriend	boyfreind	9	False	2	False
boyfriend	boyfrend	8	False	1	False
boyfriend's	boyfrends	9	False	2	False
boys	boy	3	False	1	True
boys	boy's	5	False	1	True
brakes	breaks	6	False	2	True
bran	brain	5	False	1	True
bravest	bravist	7	False	1	False
